"ID";"BedrijfstakkenWoningen";"RegioS";"Perioden";"AantalInstallaties_1";"OpgesteldVermogenVanZonnepanelen_2"
"0";"E007161";"NL01  ";"2012JJ00";"   80648";"  287476"
"1";"E007161";"NL01  ";"2013JJ00";"  164442";"  650025"
"2";"E007161";"NL01  ";"2014JJ00";"  242364";" 1007613"
"3";"E007161";"NL01  ";"2015JJ00";"  342016";" 1526149"
"4";"E007161";"NL01  ";"2016JJ00";"  440036";" 2135295"
"5";"E007161";"NL01  ";"2017JJ00";"  582051";" 2910892"
"6";"E007161";"NL01  ";"2018JJ00";"  774093";" 4522136"
"7";"E007161";"LD01  ";"2012JJ00";"   11196";"   47251"
"8";"E007161";"LD01  ";"2013JJ00";"   23192";"  105975"
"9";"E007161";"LD01  ";"2014JJ00";"   33674";"  159288"
"10";"E007161";"LD01  ";"2015JJ00";"   53148";"  253247"
"11";"E007161";"LD01  ";"2016JJ00";"   70858";"  394730"
"12";"E007161";"LD01  ";"2017JJ00";"   94793";"  536240"
"13";"E007161";"LD01  ";"2018JJ00";"  121868";"  830498"
"14";"E007161";"LD02  ";"2012JJ00";"   18109";"   75327"
"15";"E007161";"LD02  ";"2013JJ00";"   38317";"  176366"
"16";"E007161";"LD02  ";"2014JJ00";"   58931";"  279049"
"17";"E007161";"LD02  ";"2015JJ00";"   85532";"  423469"
"18";"E007161";"LD02  ";"2016JJ00";"  109656";"  577590"
"19";"E007161";"LD02  ";"2017JJ00";"  143353";"  776648"
"20";"E007161";"LD02  ";"2018JJ00";"  190919";" 1136328"
"21";"E007161";"LD03  ";"2012JJ00";"   33298";"   90776"
"22";"E007161";"LD03  ";"2013JJ00";"   65503";"  205161"
"23";"E007161";"LD03  ";"2014JJ00";"   97298";"  328449"
"24";"E007161";"LD03  ";"2015JJ00";"  130084";"  476108"
"25";"E007161";"LD03  ";"2016JJ00";"  164905";"  653619"
"26";"E007161";"LD03  ";"2017JJ00";"  215412";"  898850"
"27";"E007161";"LD03  ";"2018JJ00";"  285979";" 1469943"
"28";"E007161";"LD04  ";"2012JJ00";"   18034";"   74064"
"29";"E007161";"LD04  ";"2013JJ00";"   37415";"  162394"
"30";"E007161";"LD04  ";"2014JJ00";"   52366";"  240524"
"31";"E007161";"LD04  ";"2015JJ00";"   73076";"  372810"
"32";"E007161";"LD04  ";"2016JJ00";"   94401";"  508768"
"33";"E007161";"LD04  ";"2017JJ00";"  128491";"  699126"
"34";"E007161";"LD04  ";"2018JJ00";"  175019";" 1084408"
"35";"E007161";"LD99  ";"2012JJ00";"      11";"      57"
"36";"E007161";"LD99  ";"2013JJ00";"      15";"     129"
"37";"E007161";"LD99  ";"2014JJ00";"      95";"     304"
"38";"E007161";"LD99  ";"2015JJ00";"     176";"     516"
"39";"E007161";"LD99  ";"2016JJ00";"     216";"     588"
"40";"E007161";"LD99  ";"2017JJ00";"       2";"      28"
"41";"E007161";"LD99  ";"2018JJ00";"     308";"     958"
"42";"E007161";"PV20  ";"2012JJ00";"    2941";"   11639"
"43";"E007161";"PV20  ";"2013JJ00";"    6349";"   28550"
"44";"E007161";"PV20  ";"2014JJ00";"    9299";"   43400"
"45";"E007161";"PV20  ";"2015JJ00";"   19358";"   82391"
"46";"E007161";"PV20  ";"2016JJ00";"   25770";"  156889"
"47";"E007161";"PV20  ";"2017JJ00";"   32036";"  204176"
"48";"E007161";"PV20  ";"2018JJ00";"   38220";"  270244"
"49";"E007161";"PV21  ";"2012JJ00";"    5011";"   20159"
"50";"E007161";"PV21  ";"2013JJ00";"   10034";"   42883"
"51";"E007161";"PV21  ";"2014JJ00";"   14228";"   63653"
"52";"E007161";"PV21  ";"2015JJ00";"   18718";"   95167"
"53";"E007161";"PV21  ";"2016JJ00";"   22852";"  129912"
"54";"E007161";"PV21  ";"2017JJ00";"   30427";"  171018"
"55";"E007161";"PV21  ";"2018JJ00";"   42683";"  316681"
"56";"E007161";"PV22  ";"2012JJ00";"    3244";"   15453"
"57";"E007161";"PV22  ";"2013JJ00";"    6809";"   34543"
"58";"E007161";"PV22  ";"2014JJ00";"   10147";"   52234"
"59";"E007161";"PV22  ";"2015JJ00";"   15072";"   75689"
"60";"E007161";"PV22  ";"2016JJ00";"   22236";"  107929"
"61";"E007161";"PV22  ";"2017JJ00";"   32330";"  161046"
"62";"E007161";"PV22  ";"2018JJ00";"   40965";"  243573"
"63";"E007161";"PV23  ";"2012JJ00";"    6444";"   32422"
"64";"E007161";"PV23  ";"2013JJ00";"   12918";"   67822"
"65";"E007161";"PV23  ";"2014JJ00";"   20416";"  105657"
"66";"E007161";"PV23  ";"2015JJ00";"   31079";"  165317"
"67";"E007161";"PV23  ";"2016JJ00";"   38605";"  217520"
"68";"E007161";"PV23  ";"2017JJ00";"   48068";"  275308"
"69";"E007161";"PV23  ";"2018JJ00";"   60974";"  391783"
"70";"E007161";"PV24  ";"2012JJ00";"    2336";"   10731"
"71";"E007161";"PV24  ";"2013JJ00";"    4574";"   23950"
"72";"E007161";"PV24  ";"2014JJ00";"    6907";"   39506"
"73";"E007161";"PV24  ";"2015JJ00";"    9591";"   66085"
"74";"E007161";"PV24  ";"2016JJ00";"   12101";"   89994"
"75";"E007161";"PV24  ";"2017JJ00";"   17671";"  133498"
"76";"E007161";"PV24  ";"2018JJ00";"   22799";"  186734"
"77";"E007161";"PV25  ";"2012JJ00";"    9329";"   32174"
"78";"E007161";"PV25  ";"2013JJ00";"   20825";"   84594"
"79";"E007161";"PV25  ";"2014JJ00";"   31608";"  133886"
"80";"E007161";"PV25  ";"2015JJ00";"   44862";"  192066"
"81";"E007161";"PV25  ";"2016JJ00";"   58950";"  270076"
"82";"E007161";"PV25  ";"2017JJ00";"   77614";"  367842"
"83";"E007161";"PV25  ";"2018JJ00";"  107146";"  557812"
"84";"E007161";"PV26  ";"2012JJ00";"    6522";"   19521"
"85";"E007161";"PV26  ";"2013JJ00";"   12714";"   40719"
"86";"E007161";"PV26  ";"2014JJ00";"   17946";"   59679"
"87";"E007161";"PV26  ";"2015JJ00";"   23938";"   86571"
"88";"E007161";"PV26  ";"2016JJ00";"   29881";"  113275"
"89";"E007161";"PV26  ";"2017JJ00";"   39978";"  165197"
"90";"E007161";"PV26  ";"2018JJ00";"   53253";"  251564"
"91";"E007161";"PV27  ";"2012JJ00";"   10940";"   32813"
"92";"E007161";"PV27  ";"2013JJ00";"   23145";"   72438"
"93";"E007161";"PV27  ";"2014JJ00";"   33248";"  112049"
"94";"E007161";"PV27  ";"2015JJ00";"   44678";"  162467"
"95";"E007161";"PV27  ";"2016JJ00";"   56047";"  232196"
"96";"E007161";"PV27  ";"2017JJ00";"   72360";"  312892"
"97";"E007161";"PV27  ";"2018JJ00";"   97409";"  493264"
"98";"E007161";"PV28  ";"2012JJ00";"   13715";"   30660"
"99";"E007161";"PV28  ";"2013JJ00";"   24486";"   70391"
"100";"E007161";"PV28  ";"2014JJ00";"   36438";"  117467"
"101";"E007161";"PV28  ";"2015JJ00";"   47755";"  169686"
"102";"E007161";"PV28  ";"2016JJ00";"   59093";"  229118"
"103";"E007161";"PV28  ";"2017JJ00";"   77190";"  317332"
"104";"E007161";"PV28  ";"2018JJ00";"  102698";"  502318"
"105";"E007161";"PV29  ";"2012JJ00";"    2121";"    7782"
"106";"E007161";"PV29  ";"2013JJ00";"    5158";"   21612"
"107";"E007161";"PV29  ";"2014JJ00";"    9666";"   39254"
"108";"E007161";"PV29  ";"2015JJ00";"   13713";"   57384"
"109";"E007161";"PV29  ";"2016JJ00";"   19884";"   79030"
"110";"E007161";"PV29  ";"2017JJ00";"   25884";"  103430"
"111";"E007161";"PV29  ";"2018JJ00";"   32619";"  222797"
